date,home,away,goals_home,goals_away,season,delta,year,home__val,away__val,home__scored,home__suffered,home__delta_minus_1,home__delta_minus_2,home__delta_minus_3,home__delta_minus_4,home__avg_scored_3,home__avg_suffered_3,home__avg_scored_5,home__avg_suffered_5,away__scored,away__suffered,away__delta_minus_1,away__delta_minus_2,away__delta_minus_3,away__delta_minus_4,away__avg_scored_3,away__avg_suffered_3,away__avg_scored_5,away__avg_suffered_5
2019-08-11,Braga,Moreirense ,3,1,2019,2,2019,92550,0,3,1,2,0,0,0,0.0,1.6666666666666665,0.0,2.0,1,3,-2,0,0,0,0.0,2.0,0.0,1.4000000000000001
2019-08-11,Braga,Moreirense ,3,1,2019,2,2019,92550,0,3,1,2,0,0,0,0.0,1.6666666666666665,0.0,2.0,1,3,0,0,0,0,0.0,1.3333333333333333,0.0,1.4000000000000001
2019-08-11,Braga,Moreirense ,3,1,2019,2,2019,92550,0,3,1,0,0,0,0,0.0,1.6666666666666665,0.0,1.8,1,3,-2,0,0,0,0.0,2.0,0.0,1.4000000000000001
2019-08-11,Braga,Moreirense ,3,1,2019,2,2019,92550,0,3,1,0,0,0,0,0.0,1.6666666666666665,0.0,1.8,1,3,0,0,0,0,0.0,1.3333333333333333,0.0,1.4000000000000001
2019-08-12,Vitória Setúbal,Tondela,0,0,2019,0,2019,12480,11050,0,0,0,0,0,0,0.0,1.3333333333333333,0.0,1.4000000000000001,0,0,0,0,0,0,0.0,1.0,0.0,1.6
2019-08-12,Vitória Setúbal,Tondela,0,0,2019,0,2019,12480,11050,0,0,0,0,0,0,0.0,1.3333333333333333,0.0,1.4000000000000001,0,0,0,0,0,0,0.0,2.0,0.0,1.6
2019-08-12,Vitória Setúbal,Tondela,0,0,2019,0,2019,12480,11050,0,0,0,0,0,0,0.0,2.333333333333333,0.0,1.6,0,0,0,0,0,0,0.0,1.0,0.0,1.6
2019-08-12,Vitória Setúbal,Tondela,0,0,2019,0,2019,12480,11050,0,0,0,0,0,0,0.0,2.333333333333333,0.0,1.6,0,0,0,0,0,0,0.0,2.0,0.0,1.6
2019-09-08,Rio Ave FC,Vit. Guimarães,1,1,2019,0,2019,17850,43680,1,1,0,1,1,4,2.333333333333333,1.6666666666666665,3.4000000000000004,1.4,1,1,0,-3,-3,0,0.3333333333333333,2.333333333333333,0.6000000000000001,1.8
2019-09-08,Rio Ave FC,Vit. Guimarães,1,1,2019,0,2019,17850,43680,1,1,0,1,1,4,2.333333333333333,1.6666666666666665,3.4000000000000004,1.4,1,1,-3,-3,0,0,0.3333333333333333,2.3333333333333335,0.6000000000000001,1.8
2019-09-08,Rio Ave FC,Vit. Guimarães,1,1,2019,0,2019,17850,43680,1,1,1,1,4,4,3.6666666666666665,1.6666666666666665,3.2,1.4,1,1,0,-3,-3,0,0.3333333333333333,2.333333333333333,0.6000000000000001,1.8
2019-09-08,Rio Ave FC,Vit. Guimarães,1,1,2019,0,2019,17850,43680,1,1,1,1,4,4,3.6666666666666665,1.6666666666666665,3.2,1.4,1,1,-3,-3,0,0,0.3333333333333333,2.3333333333333335,0.6000000000000001,1.8
2019-08-16,Famalicão,Rio Ave FC,1,0,2019,1,2019,14150,17850,1,0,1,2,2,0,1.6666666666666665,0.0,0.0,0.0,0,1,-1,0,0,0,0.0,1.6666666666666665,0.0,1.6
2019-08-16,Famalicão,Rio Ave FC,1,0,2019,1,2019,14150,17850,1,0,1,2,2,0,1.6666666666666665,0.0,0.0,0.0,0,1,0,0,0,0,0.0,1.6666666666666665,0.0,1.5999999999999999
2019-08-16,Famalicão,Rio Ave FC,1,0,2019,1,2019,14150,17850,1,0,2,2,0,0,0.0,0.0,0.0,0.0,0,1,-1,0,0,0,0.0,1.6666666666666665,0.0,1.6
2019-08-16,Famalicão,Rio Ave FC,1,0,2019,1,2019,14150,17850,1,0,2,2,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,1.6666666666666665,0.0,1.5999999999999999
