date,home,away,goals_home,goals_away,season
"Sun Oct 2, 2016",Benfica,Feirense,4,0,2016
"Sun Oct 2, 2016",Boavista,Moreirense ,2,0,2016
"Sun Oct 2, 2016",Arouca,Braga,1,1,2016
"Fri Oct 21, 2016",Paços Ferreira,Nacional,1,1,2016
"Fri Oct 21, 2016",Marítimo,Boavista,1,1,2016
"Sat Oct 22, 2016",Feirense,Vitória Setúbal,1,1,2016
"Sat Oct 22, 2016",Sporting CP,Tondela,1,1,2016
"Sat Oct 22, 2016",FC Porto,Arouca,3,0,2016
"Sun Oct 23, 2016",Moreirense,Rio Ave FC,1,1,2016
"Sun Oct 23, 2016",Estoril,Vit. Guimarães,0,2,2016
"Sun Oct 23, 2016",Belenenses SAD,Benfica,0,2,2016
"Mon Oct 24, 2016",Braga,Chaves,1,0,2016
"Fri Oct 28, 2016",Benfica,Paços Ferreira,3,0,2016
"Fri Oct 28, 2016",Nacional,Sporting CP,0,0,2016
"Sat Oct 29, 2016",Tondela,Moreirense ,1,2,2016
"Sat Oct 29, 2016",Vitória Setúbal,FC Porto,0,0,2016
"Sat Oct 29, 2016",Boavista,Estoril,0,0,2016
"Sun Oct 30, 2016",Arouca,Marítimo,1,0,2016
"Sun Oct 30, 2016",Rio Ave FC,Vit. Guimarães,0,3,2016
"Sun Oct 30, 2016",Braga,Belenenses SAD,2,1,2016
"Mon Oct 31, 2016",Chaves,Feirense,1,1,2016
"Fri Nov 4, 2016",Vit. Guimarães,Nacional,2,1,2016
"Sat Nov 5, 2016",Estoril,Tondela,2,0,2016
"Sat Nov 5, 2016",Paços Ferreira,Chaves,1,1,2016
"Sat Nov 5, 2016",Feirense,Belenenses SAD,0,1,2016
"Sat Nov 5, 2016",Rio Ave FC,Boavista,1,2,2016
"Sun Nov 6, 2016",Moreirense,Vitória Setúbal,1,2,2016
"Sun Nov 6, 2016",FC Porto,Benfica,1,1,2016
"Sun Nov 6, 2016",Sporting CP,Arouca,3,0,2016
"Sun Nov 6, 2016",Marítimo,Braga,1,0,2016
"Fri Nov 25, 2016",Vitória Setúbal,Rio Ave FC,0,1,2016
"Sat Nov 26, 2016",Chaves,Marítimo,0,0,2016
"Sat Nov 26, 2016",Nacional,Estoril,0,1,2016
"Sat Nov 26, 2016",Boavista,Sporting CP,0,1,2016
"Sat Nov 26, 2016",Belenenses SAD,FC Porto,0,0,2016
"Sun Nov 27, 2016",Arouca,Paços Ferreira,1,0,2016
"Sun Nov 27, 2016",Benfica,Moreirense ,3,0,2016
"Sun Nov 27, 2016",Tondela,Vit. Guimarães,2,1,2016
"Mon Nov 28, 2016",Braga,Feirense,6,2,2016
"Fri Dec 2, 2016",Marítimo,Benfica,2,1,2016
"Sat Dec 3, 2016",Rio Ave FC,Tondela,3,1,2016
"Sat Dec 3, 2016",Sporting CP,Vitória Setúbal,2,0,2016
"Sat Dec 3, 2016",FC Porto,Braga,1,0,2016
"Sun Dec 4, 2016",Moreirense,Nacional,3,1,2016
"Sun Dec 4, 2016",Feirense,Arouca,0,2,2016
"Sun Dec 4, 2016",Estoril,Belenenses SAD,1,1,2016
"Sun Dec 4, 2016",Vit. Guimarães,Chaves,1,1,2016
"Mon Dec 5, 2016",Paços Ferreira,Boavista,2,1,2016
"Fri Dec 9, 2016",Vitória Setúbal,Estoril,2,0,2016
"Sat Dec 10, 2016",Belenenses SAD,Marítimo,1,0,2016
"Sat Dec 10, 2016",Chaves,Moreirense ,2,1,2016
"Sat Dec 10, 2016",Boavista,Vit. Guimarães,1,2,2016
"Sun Dec 11, 2016",Nacional,Tondela,3,2,2016
"Sun Dec 11, 2016",Feirense,FC Porto,0,4,2016
"Sun Dec 11, 2016",Benfica,Sporting CP,2,1,2016
"Sun Dec 11, 2016",Braga,Paços Ferreira,3,0,2016
"Mon Dec 12, 2016",Arouca,Rio Ave FC,0,2,2016
"Fri Dec 16, 2016",Paços Ferreira,Belenenses SAD,1,0,2016
"Sat Dec 17, 2016",Moreirense,Arouca,1,4,2016
"Sat Dec 17, 2016",Estoril,Benfica,0,1,2016
"Sun Dec 18, 2016",Rio Ave FC,Nacional,2,1,2016
"Sun Dec 18, 2016",Tondela,Boavista,1,1,2016
"Sun Dec 18, 2016",Vit. Guimarães,Vitória Setúbal,3,1,2016
"Sun Dec 18, 2016",Sporting CP,Braga,0,1,2016
"Mon Dec 19, 2016",Marítimo,Feirense,2,0,2016
"Mon Dec 19, 2016",FC Porto,Chaves,2,1,2016
"Thu Dec 15, 2016",FC Porto,Marítimo,2,1,2016
"Wed Dec 21, 2016",Benfica,Rio Ave FC,2,0,2016
"Thu Dec 22, 2016",Nacional,Boavista,0,2,2016
"Thu Dec 22, 2016",Feirense,Paços Ferreira,2,0,2016
"Thu Dec 22, 2016",Braga,Moreirense ,2,1,2016
"Thu Dec 22, 2016",Chaves,Estoril,1,0,2016
"Thu Dec 22, 2016",Belenenses SAD,Sporting CP,0,1,2016
"Fri Dec 23, 2016",Vitória Setúbal,Tondela,3,0,2016
"Fri Dec 23, 2016",Arouca,Vit. Guimarães,0,1,2016
"Sat Jan 7, 2017",Nacional,Braga,0,0,2016
"Sat Jan 7, 2017",Estoril,Marítimo,0,1,2016
"Sat Jan 7, 2017",Vit. Guimarães,Benfica,0,2,2016
"Sat Jan 7, 2017",Paços Ferreira,FC Porto,0,0,2016
"Sun Jan 8, 2017",Rio Ave FC,Chaves,2,2,2016
"Sun Jan 8, 2017",Tondela,Arouca,1,2,2016
"Sun Jan 8, 2017",Boavista,Vitória Setúbal,1,0,2016
"Sun Jan 8, 2017",Sporting CP,Feirense,2,1,2016
"Mon Jan 9, 2017",Moreirense,Belenenses SAD,1,0,2016
"Fri Jan 13, 2017",Arouca,Estoril,2,1,2016
"Sat Jan 14, 2017",Vitória Setúbal,Nacional,1,0,2016
"Sat Jan 14, 2017",Benfica,Boavista,3,3,2016
"Sat Jan 14, 2017",Chaves,Sporting CP,2,2,2016
"Sat Jan 14, 2017",Feirense,Vit. Guimarães,0,0,2016
"Sun Jan 15, 2017",Marítimo,Paços Ferreira,3,1,2016
"Sun Jan 15, 2017",FC Porto,Moreirense ,3,0,2016
"Sun Jan 15, 2017",Belenenses SAD,Rio Ave FC,1,0,2016
"Mon Jan 16, 2017",Braga,Tondela,2,0,2016
"Fri Jan 20, 2017",Paços Ferreira,Moreirense ,0,2,2016
"Sat Jan 21, 2017",FC Porto,Rio Ave FC,4,2,2016
"Sat Jan 21, 2017",Marítimo,Sporting CP,2,2,2016
"Sat Jan 21, 2017",Arouca,Boavista,1,2,2016
"Sun Jan 22, 2017",Feirense,Estoril,1,0,2016
"Sun Jan 22, 2017",Benfica,Tondela,4,0,2016
"Sun Jan 22, 2017",Belenenses SAD,Vitória Setúbal,1,2,2016
"Sun Jan 22, 2017",Braga,Vit. Guimarães,1,2,2016
"Mon Jan 23, 2017",Chaves,Nacional,2,0,2016
"Fri Jan 27, 2017",Boavista,Belenenses SAD,0,1,2016
"Sat Jan 28, 2017",Tondela,Chaves,2,0,2016
"Sat Jan 28, 2017",Vit. Guimarães,Marítimo,0,0,2016
"Sat Jan 28, 2017",Nacional,Arouca,1,1,2016
"Sat Jan 28, 2017",Estoril,FC Porto,1,2,2016
"Sat Jan 28, 2017",Sporting CP,Paços Ferreira,4,2,2016
"Mon Jan 30, 2017",Moreirense,Feirense,1,1,2016
"Mon Jan 30, 2017",Vitória Setúbal,Benfica,1,0,2016
"Mon Jan 30, 2017",Rio Ave FC,Braga,1,0,2016
"Fri Feb 3, 2017",Paços Ferreira,Vit. Guimarães,2,0,2016
"Sat Feb 4, 2017",Chaves,Boavista,0,0,2016
"Sat Feb 4, 2017",FC Porto,Sporting CP,2,1,2016
"Sun Feb 5, 2017",Arouca,Vitória Setúbal,2,1,2016
"Sun Feb 5, 2017",Benfica,Nacional,3,0,2016
"Sun Feb 5, 2017",Belenenses SAD,Tondela,0,0,2016
"Mon Feb 6, 2017",Marítimo,Moreirense ,1,0,2016
"Mon Feb 6, 2017",Feirense,Rio Ave FC,2,1,2016
"Mon Feb 6, 2017",Braga,Estoril,1,1,2016
"Fri Feb 10, 2017",Benfica,Arouca,3,0,2016
"Sat Feb 11, 2017",Tondela,Feirense,0,1,2016
"Sat Feb 11, 2017",Vitória Setúbal,Chaves,0,0,2016
"Sat Feb 11, 2017",Estoril,Paços Ferreira,2,1,2016
"Sat Feb 11, 2017",Vit. Guimarães,FC Porto,0,2,2016
"Sun Feb 12, 2017",Nacional,Belenenses SAD,1,1,2016
"Sun Feb 12, 2017",Moreirense,Sporting CP,2,3,2016
"Sun Feb 12, 2017",Boavista,Braga,1,1,2016
"Mon Feb 13, 2017",Rio Ave FC,Marítimo,0,0,2016
"Fri Feb 17, 2017",FC Porto,Tondela,4,0,2016
"Sat Feb 18, 2017",Moreirense,Estoril,1,1,2016
"Sat Feb 18, 2017",Chaves,Arouca,2,0,2016
"Sat Feb 18, 2017",Feirense,Boavista,0,1,2016
"Sat Feb 18, 2017",Sporting CP,Rio Ave FC,1,0,2016
"Sun Feb 19, 2017",Paços Ferreira,Vitória Setúbal,2,1,2016
"Sun Feb 19, 2017",Belenenses SAD,Vit. Guimarães,1,1,2016
"Sun Feb 19, 2017",Braga,Benfica,0,1,2016
"Mon Feb 20, 2017",Marítimo,Nacional,0,0,2016
"Fri Feb 24, 2017",Vit. Guimarães,Moreirense ,1,0,2016
"Fri Feb 24, 2017",Benfica,Chaves,3,1,2016
"Sat Feb 25, 2017",Tondela,Marítimo,1,1,2016
"Sat Feb 25, 2017",Estoril,Sporting CP,0,2,2016
"Sat Feb 25, 2017",Rio Ave FC,Paços Ferreira,0,0,2016
"Sun Feb 26, 2017",Nacional,Feirense,0,0,2016
"Sun Feb 26, 2017",Vitória Setúbal,Braga,1,1,2016
"Sun Feb 26, 2017",Boavista,FC Porto,0,1,2016
"Mon Feb 27, 2017",Arouca,Belenenses SAD,1,2,2016
"Fri Mar 3, 2017",Moreirense,Boavista,0,0,2016
"Sat Mar 4, 2017",Braga,Arouca,3,1,2016
"Sat Mar 4, 2017",FC Porto,Nacional,7,0,2016
"Sat Mar 4, 2017",Feirense,Benfica,0,1,2016
"Sun Mar 5, 2017",Paços Ferreira,Tondela,0,0,2016
"Sun Mar 5, 2017",Marítimo,Vitória Setúbal,1,0,2016
"Sun Mar 5, 2017",Belenenses SAD,Chaves,2,1,2016
"Sun Mar 5, 2017",Sporting CP,Vit. Guimarães,1,1,2016
"Mon Mar 6, 2017",Estoril,Rio Ave FC,0,2,2016
"Fri Mar 10, 2017",Arouca,FC Porto,0,4,2016
"Sat Mar 11, 2017",Vitória Setúbal,Feirense,1,2,2016
"Sat Mar 11, 2017",Chaves,Braga,0,0,2016
"Sat Mar 11, 2017",Tondela,Sporting CP,1,4,2016
"Sun Mar 12, 2017",Boavista,Marítimo,3,0,2016
"Sun Mar 12, 2017",Rio Ave FC,Moreirense ,3,2,2016
"Sun Mar 12, 2017",Vit. Guimarães,Estoril,3,3,2016
"Mon Mar 13, 2017",Nacional,Paços Ferreira,1,1,2016
"Mon Mar 13, 2017",Benfica,Belenenses SAD,4,0,2016
"Fri Mar 17, 2017",Estoril,Boavista,0,0,2016
"Sat Mar 18, 2017",Moreirense,Tondela,1,1,2016
"Sat Mar 18, 2017",Belenenses SAD,Braga,1,2,2016
"Sat Mar 18, 2017",Sporting CP,Nacional,2,0,2016
"Sat Mar 18, 2017",Paços Ferreira,Benfica,0,0,2016
"Sun Mar 19, 2017",Marítimo,Arouca,3,1,2016
"Sun Mar 19, 2017",Feirense,Chaves,3,2,2016
"Sun Mar 19, 2017",FC Porto,Vitória Setúbal,1,1,2016
"Sun Mar 19, 2017",Vit. Guimarães,Rio Ave FC,3,0,2016
"Fri Mar 31, 2017",Chaves,Paços Ferreira,1,0,2016
"Fri Mar 31, 2017",Nacional,Vit. Guimarães,1,2,2016
"Sat Apr 1, 2017",Tondela,Estoril,0,2,2016
"Sat Apr 1, 2017",Boavista,Rio Ave FC,0,1,2016
"Sat Apr 1, 2017",Benfica,FC Porto,1,1,2016
"Sun Apr 2, 2017",Belenenses SAD,Feirense,1,2,2016
"Sun Apr 2, 2017",Vitória Setúbal,Moreirense ,2,0,2016
"Sun Apr 2, 2017",Arouca,Sporting CP,1,2,2016
"Sun Apr 2, 2017",Braga,Marítimo,3,3,2016
"Fri Apr 7, 2017",Feirense,Braga,0,1,2016
"Sat Apr 8, 2017",Paços Ferreira,Arouca,1,1,2016
"Sat Apr 8, 2017",FC Porto,Belenenses SAD,3,0,2016
"Sat Apr 8, 2017",Sporting CP,Boavista,4,0,2016
"Sun Apr 9, 2017",Estoril,Nacional,0,1,2016
"Sun Apr 9, 2017",Rio Ave FC,Vitória Setúbal,0,0,2016
"Sun Apr 9, 2017",Vit. Guimarães,Tondela,2,1,2016
"Sun Apr 9, 2017",Moreirense,Benfica,0,1,2016
"Mon Apr 10, 2017",Marítimo,Chaves,2,1,2016
"Fri Apr 14, 2017",Boavista,Paços Ferreira,0,0,2016
"Fri Apr 14, 2017",Belenenses SAD,Estoril,1,3,2016
"Fri Apr 14, 2017",Benfica,Marítimo,3,0,2016
"Fri Apr 14, 2017",Vitória Setúbal,Sporting CP,0,3,2016
"Sat Apr 15, 2017",Chaves,Vit. Guimarães,2,3,2016
"Sat Apr 15, 2017",Arouca,Feirense,2,0,2016
"Sat Apr 15, 2017",Tondela,Rio Ave FC,2,1,2016
"Sat Apr 15, 2017",Braga,FC Porto,1,1,2016
"Mon Apr 17, 2017",Nacional,Moreirense ,0,1,2016
"Fri Apr 21, 2017",Rio Ave FC,Arouca,3,0,2016
"Sat Apr 22, 2017",Tondela,Nacional,2,0,2016
"Sat Apr 22, 2017",Marítimo,Belenenses SAD,3,0,2016
"Sat Apr 22, 2017",Estoril,Vitória Setúbal,3,0,2016
"Sat Apr 22, 2017",Sporting CP,Benfica,1,1,2016
"Sun Apr 23, 2017",Paços Ferreira,Braga,3,1,2016
"Sun Apr 23, 2017",Vit. Guimarães,Boavista,2,0,2016
"Sun Apr 23, 2017",FC Porto,Feirense,0,0,2016
"Mon Apr 24, 2017",Moreirense,Chaves,0,0,2016
"Fri Apr 28, 2017",Vitória Setúbal,Vit. Guimarães,0,2,2016
"Sat Apr 29, 2017",Nacional,Rio Ave FC,0,2,2016
"Sat Apr 29, 2017",Boavista,Tondela,1,0,2016
"Sat Apr 29, 2017",Benfica,Estoril,2,1,2016
"Sat Apr 29, 2017",Chaves,FC Porto,0,2,2016
"Sun Apr 30, 2017",Feirense,Marítimo,2,1,2016
"Sun Apr 30, 2017",Arouca,Moreirense ,2,2,2016
"Sun Apr 30, 2017",Braga,Sporting CP,2,3,2016
"Sun Apr 30, 2017",Belenenses SAD,Paços Ferreira,1,2,2016
"Fri May 5, 2017",Moreirense,Braga,2,1,2016
"Sat May 6, 2017",Boavista,Nacional,2,2,2016
"Sat May 6, 2017",Paços Ferreira,Feirense,0,1,2016
"Sat May 6, 2017",Marítimo,FC Porto,1,1,2016
"Sun May 7, 2017",Sporting CP,Belenenses SAD,1,3,2016
"Sun May 7, 2017",Tondela,Vitória Setúbal,2,1,2016
"Sun May 7, 2017",Vit. Guimarães,Arouca,1,0,2016
"Sun May 7, 2017",Rio Ave FC,Benfica,0,1,2016
"Mon May 8, 2017",Estoril,Chaves,2,1,2016
"Fri May 12, 2017",Belenenses SAD,Moreirense ,1,1,2016
"Sat May 13, 2017",Arouca,Tondela,1,2,2016
"Sat May 13, 2017",Benfica,Vit. Guimarães,5,0,2016
"Sat May 13, 2017",Feirense,Sporting CP,2,1,2016
"Sun May 14, 2017",Chaves,Rio Ave FC,2,2,2016
"Sun May 14, 2017",Marítimo,Estoril,1,1,2016
"Sun May 14, 2017",FC Porto,Paços Ferreira,4,1,2016
"Sun May 14, 2017",Braga,Nacional,4,0,2016
"Mon May 15, 2017",Vitória Setúbal,Boavista,0,1,2016
"Sat May 20, 2017",Nacional,Vitória Setúbal,1,2,2016
"Sat May 20, 2017",Paços Ferreira,Marítimo,0,0,2016
"Sat May 20, 2017",Rio Ave FC,Belenenses SAD,2,0,2016
"Sat May 20, 2017",Vit. Guimarães,Feirense,0,1,2016
"Sat May 20, 2017",Boavista,Benfica,2,2,2016
"Sun May 21, 2017",Estoril,Arouca,4,2,2016
"Sun May 21, 2017",Moreirense,FC Porto,3,1,2016
"Sun May 21, 2017",Tondela,Braga,2,0,2016
"Sun May 21, 2017",Sporting CP,Chaves,4,1,2016
"Sun Aug 6, 2017",Desportivo Aves,Sporting CP,0,2,2017
"Sun Aug 6, 2017",Vitória Setúbal,Moreirense ,1,1,2017
"Mon Aug 7, 2017",Portimonense,Boavista,2,1,2017
"Mon Aug 7, 2017",Feirense,Tondela,1,1,2017
"Mon Aug 7, 2017",Rio Ave FC,Belenenses SAD,1,0,2017
"Tue Aug 8, 2017",Marítimo,Paços Ferreira,1,0,2017
"Wed Aug 9, 2017",FC Porto,Estoril,4,0,2017
"Wed Aug 9, 2017",Benfica,Braga,3,1,2017
"Thu Aug 10, 2017",Vit. Guimarães,Chaves,3,2,2017
"Fri Aug 11, 2017",Sporting CP,Vitória Setúbal,1,0,2017
"Sat Aug 12, 2017",Moreirense,Feirense,0,0,2017
"Sat Aug 12, 2017",Belenenses SAD,Marítimo,1,0,2017
"Sat Aug 12, 2017",Boavista,Rio Ave FC,1,2,2017
"Sun Aug 13, 2017",Paços Ferreira,Desportivo Aves,2,2,2017
"Sun Aug 13, 2017",Braga,Portimonense,2,1,2017
"Sun Aug 13, 2017",Tondela,FC Porto,0,1,2017
"Mon Aug 14, 2017",Estoril,Vit. Guimarães,3,0,2017
"Mon Aug 14, 2017",Chaves,Benfica,0,1,2017
"Fri Aug 18, 2017",Rio Ave FC,Portimonense,2,0,2017
"Sat Aug 19, 2017",Tondela,Estoril,2,3,2017
"Sat Aug 19, 2017",Vit. Guimarães,Sporting CP,0,5,2017
"Sat Aug 19, 2017",Benfica,Belenenses SAD,5,0,2017
"Sun Aug 20, 2017",Vitória Setúbal,Chaves,1,1,2017
"Sun Aug 20, 2017",FC Porto,Moreirense ,3,0,2017
"Sun Aug 20, 2017",Desportivo Aves,Braga,0,2,2017
"Sun Aug 20, 2017",Marítimo,Boavista,1,0,2017
"Mon Aug 21, 2017",Feirense,Paços Ferreira,2,1,2017
"Fri Aug 25, 2017",Belenenses SAD,Vitória Setúbal,1,1,2017
"Sat Aug 26, 2017",Moreirense,Tondela,0,3,2017
"Sat Aug 26, 2017",Paços Ferreira,Vit. Guimarães,0,0,2017
"Sat Aug 26, 2017",Chaves,Feirense,0,2,2017
"Sat Aug 26, 2017",Rio Ave FC,Benfica,1,1,2017
"Sun Aug 27, 2017",Boavista,Desportivo Aves,1,0,2017
"Sun Aug 27, 2017",Sporting CP,Estoril,2,1,2017
"Sun Aug 27, 2017",Braga,FC Porto,0,1,2017
"Mon Aug 28, 2017",Portimonense,Marítimo,1,2,2017
"Fri Sep 8, 2017",Feirense,Sporting CP,2,3,2017
"Fri Sep 8, 2017",Benfica,Portimonense,2,1,2017
"Sat Sep 9, 2017",Tondela,Paços Ferreira,2,2,2017
"Sat Sep 9, 2017",Marítimo,Rio Ave FC,1,0,2017
"Sat Sep 9, 2017",FC Porto,Chaves,3,0,2017
"Sun Sep 10, 2017",Vitória Setúbal,Braga,2,0,2017
"Sun Sep 10, 2017",Vit. Guimarães,Boavista,1,0,2017
"Sun Sep 10, 2017",Estoril,Moreirense ,0,2,2017
"Mon Sep 11, 2017",Desportivo Aves,Belenenses SAD,2,1,2017
"Fri Sep 15, 2017",Paços Ferreira,Vitória Setúbal,1,0,2017
"Sat Sep 16, 2017",Marítimo,Desportivo Aves,2,1,2017
"Sat Sep 16, 2017",Boavista,Benfica,2,1,2017
"Sat Sep 16, 2017",Sporting CP,Tondela,2,0,2017
"Sun Sep 17, 2017",Belenenses SAD,Estoril,2,1,2017
"Sun Sep 17, 2017",Rio Ave FC,FC Porto,1,2,2017
"Sun Sep 17, 2017",Braga,Vit. Guimarães,2,1,2017
"Mon Sep 18, 2017",Portimonense,Feirense,2,1,2017
"Mon Sep 18, 2017",Chaves,Moreirense ,3,0,2017
"Fri Sep 22, 2017",FC Porto,Portimonense,5,2,2017
"Sat Sep 23, 2017",Estoril,Chaves,0,2,2017
"Sat Sep 23, 2017",Moreirense,Sporting CP,1,1,2017
"Sat Sep 23, 2017",Benfica,Paços Ferreira,2,0,2017
"Sun Sep 24, 2017",Feirense,Belenenses SAD,1,4,2017
"Sun Sep 24, 2017",Vit. Guimarães,Marítimo,2,1,2017
"Sun Sep 24, 2017",Tondela,Braga,1,2,2017
"Sun Sep 24, 2017",Desportivo Aves,Rio Ave FC,0,0,2017
"Mon Sep 25, 2017",Vitória Setúbal,Boavista,1,1,2017
"Fri Sep 29, 2017",Chaves,Tondela,1,1,2017
"Sat Sep 30, 2017",Portimonense,Desportivo Aves,2,2,2017
"Sat Sep 30, 2017",Paços Ferreira,Moreirense ,3,2,2017
"Sat Sep 30, 2017",Boavista,Feirense,1,0,2017
"Sat Sep 30, 2017",Rio Ave FC,Vitória Setúbal,2,1,2017
"Sun Oct 1, 2017",Braga,Estoril,6,0,2017
"Sun Oct 1, 2017",Sporting CP,FC Porto,0,0,2017
"Sun Oct 1, 2017",Marítimo,Benfica,1,1,2017
"Sun Oct 1, 2017",Belenenses SAD,Vit. Guimarães,1,0,2017
"Fri Oct 20, 2017",Estoril,Boavista,0,3,2017
"Sat Oct 21, 2017",Feirense,Rio Ave FC,1,0,2017
"Sat Oct 21, 2017",Vitória Setúbal,Marítimo,3,1,2017
"Sat Oct 21, 2017",FC Porto,Paços Ferreira,6,1,2017
"Sun Oct 22, 2017",Tondela,Belenenses SAD,2,0,2017
"Sun Oct 22, 2017",Desportivo Aves,Benfica,1,3,2017
"Sun Oct 22, 2017",Sporting CP,Chaves,5,1,2017
"Mon Oct 23, 2017",Moreirense,Braga,0,1,2017
"Mon Oct 23, 2017",Vit. Guimarães,Portimonense,3,3,2017
"Fri Oct 27, 2017",Benfica,Feirense,1,0,2017
"Fri Oct 27, 2017",Rio Ave FC,Sporting CP,0,1,2017
"Sat Oct 28, 2017",Marítimo,Tondela,2,0,2017
"Sat Oct 28, 2017",Belenenses SAD,Moreirense ,3,0,2017
"Sat Oct 28, 2017",Boavista,FC Porto,0,3,2017
"Sun Oct 29, 2017",Braga,Chaves,1,0,2017
"Sun Oct 29, 2017",Paços Ferreira,Estoril,1,0,2017
"Sun Oct 29, 2017",Desportivo Aves,Vit. Guimarães,1,3,2017
"Mon Oct 30, 2017",Portimonense,Vitória Setúbal,5,2,2017
"Fri Nov 3, 2017",Vitória Setúbal,Desportivo Aves,0,1,2017
"Sat Nov 4, 2017",Tondela,Boavista,3,2,2017
"Sat Nov 4, 2017",Moreirense,Portimonense,1,1,2017
"Sat Nov 4, 2017",Estoril,Rio Ave FC,0,2,2017
"Sat Nov 4, 2017",FC Porto,Belenenses SAD,2,0,2017
"Sun Nov 5, 2017",Chaves,Paços Ferreira,4,2,2017
"Sun Nov 5, 2017",Feirense,Marítimo,0,1,2017
"Sun Nov 5, 2017",Vit. Guimarães,Benfica,1,3,2017
"Sun Nov 5, 2017",Sporting CP,Braga,2,2,2017
"Fri Nov 24, 2017",Belenenses SAD,Chaves,0,1,2017
"Sat Nov 25, 2017",Portimonense,Tondela,2,0,2017
"Sat Nov 25, 2017",Boavista,Moreirense ,1,0,2017
"Sat Nov 25, 2017",Desportivo Aves,FC Porto,1,1,2017
"Sun Nov 26, 2017",Marítimo,Estoril,0,0,2017
"Sun Nov 26, 2017",Paços Ferreira,Sporting CP,1,2,2017
"Sun Nov 26, 2017",Benfica,Vitória Setúbal,6,0,2017
"Mon Nov 27, 2017",Braga,Feirense,3,1,2017
"Mon Nov 27, 2017",Rio Ave FC,Vit. Guimarães,0,1,2017
"Fri Dec 1, 2017",Sporting CP,Belenenses SAD,1,0,2017
"Fri Dec 1, 2017",FC Porto,Benfica,0,0,2017
"Sat Dec 2, 2017",Moreirense,Marítimo,1,1,2017
"Sat Dec 2, 2017",Tondela,Rio Ave FC,1,3,2017
"Sat Dec 2, 2017",Chaves,Boavista,0,0,2017
"Sun Dec 3, 2017",Feirense,Desportivo Aves,0,1,2017
"Sun Dec 3, 2017",Braga,Paços Ferreira,3,0,2017
"Sun Dec 3, 2017",Vitória Setúbal,Vit. Guimarães,1,2,2017
"Mon Dec 4, 2017",Estoril,Portimonense,0,0,2017
"Fri Dec 8, 2017",Rio Ave FC,Moreirense ,2,1,2017
"Sat Dec 9, 2017",Desportivo Aves,Tondela,0,1,2017
"Sat Dec 9, 2017",Benfica,Estoril,3,1,2017
"Sat Dec 9, 2017",Boavista,Sporting CP,1,3,2017
"Sun Dec 10, 2017",Portimonense,Chaves,0,1,2017
"Sun Dec 10, 2017",Belenenses SAD,Paços Ferreira,1,1,2017
"Sun Dec 10, 2017",Vitória Setúbal,FC Porto,0,5,2017
"Mon Dec 11, 2017",Vit. Guimarães,Feirense,1,0,2017
"Mon Dec 11, 2017",Marítimo,Braga,1,0,2017
"Fri Dec 15, 2017",Paços Ferreira,Boavista,1,2,2017
"Sat Dec 16, 2017",Feirense,Vitória Setúbal,1,0,2017
"Sat Dec 16, 2017",Estoril,Desportivo Aves,3,2,2017
"Sat Dec 16, 2017",Braga,Belenenses SAD,4,0,2017
"Sun Dec 17, 2017",Chaves,Rio Ave FC,1,1,2017
"Sun Dec 17, 2017",Sporting CP,Portimonense,2,0,2017
"Sun Dec 17, 2017",Tondela,Benfica,1,5,2017
"Mon Dec 18, 2017",Moreirense,Vit. Guimarães,2,1,2017
"Mon Dec 18, 2017",FC Porto,Marítimo,3,1,2017
"Sat Dec 23, 2017",Vit. Guimarães,Tondela,0,1,2017
"Wed Jan 3, 2018",Desportivo Aves,Moreirense ,1,2,2017
"Wed Jan 3, 2018",Marítimo,Chaves,1,2,2017
"Wed Jan 3, 2018",Boavista,Braga,1,3,2017
"Wed Jan 3, 2018",Rio Ave FC,Paços Ferreira,4,2,2017
"Wed Jan 3, 2018",Feirense,FC Porto,1,2,2017
"Wed Jan 3, 2018",Benfica,Sporting CP,1,1,2017
"Thu Jan 4, 2018",Vitória Setúbal,Estoril,2,2,2017
"Thu Jan 4, 2018",Portimonense,Belenenses SAD,0,0,2017
"Sat Jan 6, 2018",Braga,Rio Ave FC,2,1,2017
"Sun Jan 7, 2018",Chaves,Desportivo Aves,1,1,2017
"Sun Jan 7, 2018",Moreirense,Benfica,0,2,2017
"Sun Jan 7, 2018",Sporting CP,Marítimo,5,0,2017
"Sun Jan 7, 2018",FC Porto,Vit. Guimarães,4,2,2017
"Mon Jan 8, 2018",Paços Ferreira,Portimonense,1,1,2017
"Mon Jan 8, 2018",Estoril,Feirense,0,2,2017
"Tue Jan 9, 2018",Tondela,Vitória Setúbal,1,1,2017
"Tue Jan 9, 2018",Belenenses SAD,Boavista,1,1,2017
"Fri Jan 12, 2018",Chaves,Vit. Guimarães,4,3,2017
"Sat Jan 13, 2018",Paços Ferreira,Marítimo,0,0,2017
"Sat Jan 13, 2018",Braga,Benfica,1,3,2017
"Sun Jan 14, 2018",Boavista,Portimonense,2,0,2017
"Sun Jan 14, 2018",Tondela,Feirense,3,1,2017
"Sun Jan 14, 2018",Belenenses SAD,Rio Ave FC,1,2,2017
"Sun Jan 14, 2018",Sporting CP,Desportivo Aves,3,0,2017
"Mon Jan 15, 2018",Moreirense,Vitória Setúbal,2,2,2017
"Wed Feb 21, 2018",Estoril,FC Porto,1,3,2017
"Fri Jan 19, 2018",Vitória Setúbal,Sporting CP,1,1,2017
"Fri Jan 19, 2018",FC Porto,Tondela,1,0,2017
