date,home,away,goals_home,goals_away,season
"Fri Nov 29, 2019",Santa Clara,Boavista,-,-,2019
"Sat Nov 30, 2019",Moreirense,Desportivo Aves,-,-,2019
"Sat Nov 30, 2019",Benfica,Marítimo,-,-,2019
"Sat Nov 30, 2019",Portimonense,Famalicão,-,-,2019
"Sun Dec 1, 2019",Tondela,Belenenses SAD,-,-,2019
"Sun Dec 1, 2019",Vitória Setúbal,Vit. Guimarães,-,-,2019
"Sun Dec 1, 2019",Gil Vicente,Sporting CP,-,-,2019
"Mon Dec 2, 2019",Braga,Rio Ave FC,-,-,2019
"Mon Dec 2, 2019",FC Porto,Paços Ferreira,-,-,2019
